ACTUAL_DATE,KEYA,KEYBB,AVI_SUM
01/12/2010,Auckland,Business services,100
01/12/2010,Auckland,Clerical and Administrative Workers,100
01/12/2010,Auckland,Community and Personal Service Workers,100
01/12/2010,Auckland,Construction,100
01/12/2010,Auckland,Education,100
01/12/2010,Auckland,Health care,100
01/12/2010,Auckland,Highly-Skilled,100
01/12/2010,Auckland,Hospitality,100
01/12/2010,Auckland,IT,100
01/12/2010,Auckland,Labourers,100
01/12/2010,Auckland,Low-Skilled,100
01/12/2010,Auckland,Machinery Operators and Drivers,100
01/12/2010,Auckland,Managers,100
01/12/2010,Auckland,Manufacturing,100
01/12/2010,Auckland,Other,100
01/12/2010,Auckland,Primary,100
01/12/2010,Auckland,Professionals,100
01/12/2010,Auckland,Sales,100
01/12/2010,Auckland,Sales Workers,100
01/12/2010,Auckland,Semi-Skilled,100
01/12/2010,Auckland,Skilled,100
01/12/2010,Auckland,SkilledIndex,100
01/12/2010,Auckland,Technicians and Trades Workers,100
01/12/2010,Auckland,Unskilled,100
01/12/2010,Auckland,UnskilledIndex,100
01/12/2010,Bay of Plenty,Business services,100
01/12/2010,Bay of Plenty,Clerical and Administrative Workers,100
01/12/2010,Bay of Plenty,Community and Personal Service Workers,100
01/12/2010,Bay of Plenty,Construction,100
01/12/2010,Bay of Plenty,Education,100
01/12/2010,Bay of Plenty,Health care,100
01/12/2010,Bay of Plenty,Highly-Skilled,100
01/12/2010,Bay of Plenty,Hospitality,100
01/12/2010,Bay of Plenty,IT,100
01/12/2010,Bay of Plenty,Labourers,100
01/12/2010,Bay of Plenty,Low-Skilled,100
01/12/2010,Bay of Plenty,Machinery Operators and Drivers,100
01/12/2010,Bay of Plenty,Managers,100
01/12/2010,Bay of Plenty,Manufacturing,100
01/12/2010,Bay of Plenty,Other,100
01/12/2010,Bay of Plenty,Primary,100
01/12/2010,Bay of Plenty,Professionals,100
01/12/2010,Bay of Plenty,Sales,100
01/12/2010,Bay of Plenty,Sales Workers,100
01/12/2010,Bay of Plenty,Semi-Skilled,100
01/12/2010,Bay of Plenty,Skilled,100
01/12/2010,Bay of Plenty,SkilledIndex,100
01/12/2010,Bay of Plenty,Technicians and Trades Workers,100
01/12/2010,Bay of Plenty,Unskilled,100
01/12/2010,Bay of Plenty,UnskilledIndex,100
01/12/2010,Canterbury,Business services,100
01/12/2010,Canterbury,Clerical and Administrative Workers,100
01/12/2010,Canterbury,Community and Personal Service Workers,100
01/12/2010,Canterbury,Construction,100
01/12/2010,Canterbury,Education,100
01/12/2010,Canterbury,Health care,100
01/12/2010,Canterbury,Highly-Skilled,100
01/12/2010,Canterbury,Hospitality,100
01/12/2010,Canterbury,IT,100
01/12/2010,Canterbury,Labourers,100
01/12/2010,Canterbury,Low-Skilled,100
01/12/2010,Canterbury,Machinery Operators and Drivers,100
01/12/2010,Canterbury,Managers,100
01/12/2010,Canterbury,Manufacturing,100
01/12/2010,Canterbury,Other,100
01/12/2010,Canterbury,Primary,100
01/12/2010,Canterbury,Professionals,100
01/12/2010,Canterbury,Sales,100
01/12/2010,Canterbury,Sales Workers,100
01/12/2010,Canterbury,Semi-Skilled,100
01/12/2010,Canterbury,Skilled,100
01/12/2010,Canterbury,SkilledIndex,100
01/12/2010,Canterbury,Technicians and Trades Workers,100
01/12/2010,Canterbury,Unskilled,100
01/12/2010,Canterbury,UnskilledIndex,100
01/12/2010,Gisborne/Hawkes Bay,Business services,100
01/12/2010,Gisborne/Hawkes Bay,Clerical and Administrative Workers,100
01/12/2010,Gisborne/Hawkes Bay,Community and Personal Service Workers,100
01/12/2010,Gisborne/Hawkes Bay,Construction,100
01/12/2010,Gisborne/Hawkes Bay,Education,100
01/12/2010,Gisborne/Hawkes Bay,Health care,100
01/12/2010,Gisborne/Hawkes Bay,Highly-Skilled,100
01/12/2010,Gisborne/Hawkes Bay,Hospitality,100
01/12/2010,Gisborne/Hawkes Bay,IT,100
01/12/2010,Gisborne/Hawkes Bay,Labourers,100
01/12/2010,Gisborne/Hawkes Bay,Low-Skilled,100
01/12/2010,Gisborne/Hawkes Bay,Machinery Operators and Drivers,100
01/12/2010,Gisborne/Hawkes Bay,Managers,100
01/12/2010,Gisborne/Hawkes Bay,Manufacturing,100
01/12/2010,Gisborne/Hawkes Bay,Other,100
01/12/2010,Gisborne/Hawkes Bay,Primary,100
01/12/2010,Gisborne/Hawkes Bay,Professionals,100
01/12/2010,Gisborne/Hawkes Bay,Sales,100
01/12/2010,Gisborne/Hawkes Bay,Sales Workers,100
01/12/2010,Gisborne/Hawkes Bay,Semi-Skilled,100
01/12/2010,Gisborne/Hawkes Bay,Skilled,100
01/12/2010,Gisborne/Hawkes Bay,SkilledIndex,100
01/12/2010,Gisborne/Hawkes Bay,Technicians and Trades Workers,100
01/12/2010,Gisborne/Hawkes Bay,Unskilled,100
01/12/2010,Gisborne/Hawkes Bay,UnskilledIndex,100
01/12/2010,Manawatu-Whanganui/Taranaki,Business services,100
01/12/2010,Manawatu-Whanganui/Taranaki,Clerical and Administrative Workers,100
01/12/2010,Manawatu-Whanganui/Taranaki,Community and Personal Service Workers,100
01/12/2010,Manawatu-Whanganui/Taranaki,Construction,100
01/12/2010,Manawatu-Whanganui/Taranaki,Education,100
01/12/2010,Manawatu-Whanganui/Taranaki,Health care,100
01/12/2010,Manawatu-Whanganui/Taranaki,Highly-Skilled,100
01/12/2010,Manawatu-Whanganui/Taranaki,Hospitality,100
01/12/2010,Manawatu-Whanganui/Taranaki,IT,100
01/12/2010,Manawatu-Whanganui/Taranaki,Labourers,100
01/12/2010,Manawatu-Whanganui/Taranaki,Low-Skilled,100
01/12/2010,Manawatu-Whanganui/Taranaki,Machinery Operators and Drivers,100
01/12/2010,Manawatu-Whanganui/Taranaki,Managers,100
01/12/2010,Manawatu-Whanganui/Taranaki,Manufacturing,100
01/12/2010,Manawatu-Whanganui/Taranaki,Other,100
01/12/2010,Manawatu-Whanganui/Taranaki,Primary,100
01/12/2010,Manawatu-Whanganui/Taranaki,Professionals,100
01/12/2010,Manawatu-Whanganui/Taranaki,Sales,100
01/12/2010,Manawatu-Whanganui/Taranaki,Sales Workers,100
01/12/2010,Manawatu-Whanganui/Taranaki,Semi-Skilled,100
01/12/2010,Manawatu-Whanganui/Taranaki,Skilled,100
01/12/2010,Manawatu-Whanganui/Taranaki,SkilledIndex,100
01/12/2010,Manawatu-Whanganui/Taranaki,Technicians and Trades Workers,100
01/12/2010,Manawatu-Whanganui/Taranaki,Unskilled,100
01/12/2010,Manawatu-Whanganui/Taranaki,UnskilledIndex,100
01/12/2010,Northland,Business services,100
01/12/2010,Northland,Clerical and Administrative Workers,100
01/12/2010,Northland,Community and Personal Service Workers,100
01/12/2010,Northland,Construction,100
01/12/2010,Northland,Education,100
01/12/2010,Northland,Health care,100
01/12/2010,Northland,Highly-Skilled,100
01/12/2010,Northland,Hospitality,100
01/12/2010,Northland,IT,100
01/12/2010,Northland,Labourers,100
01/12/2010,Northland,Low-Skilled,100
01/12/2010,Northland,Machinery Operators and Drivers,100
01/12/2010,Northland,Managers,100
01/12/2010,Northland,Manufacturing,100
01/12/2010,Northland,Other,100
01/12/2010,Northland,Primary,100
01/12/2010,Northland,Professionals,100
01/12/2010,Northland,Sales,100
01/12/2010,Northland,Sales Workers,100
01/12/2010,Northland,Semi-Skilled,100
01/12/2010,Northland,Skilled,100
01/12/2010,Northland,SkilledIndex,100
01/12/2010,Northland,Technicians and Trades Workers,100
01/12/2010,Northland,Unskilled,100
01/12/2010,Northland,UnskilledIndex,100
01/12/2010,Otago/Southland,Business services,100
01/12/2010,Otago/Southland,Clerical and Administrative Workers,100
01/12/2010,Otago/Southland,Community and Personal Service Workers,100
01/12/2010,Otago/Southland,Construction,100
01/12/2010,Otago/Southland,Education,100
01/12/2010,Otago/Southland,Health care,100
01/12/2010,Otago/Southland,Highly-Skilled,100
01/12/2010,Otago/Southland,Hospitality,100
01/12/2010,Otago/Southland,IT,100
01/12/2010,Otago/Southland,Labourers,100
01/12/2010,Otago/Southland,Low-Skilled,100
01/12/2010,Otago/Southland,Machinery Operators and Drivers,100
01/12/2010,Otago/Southland,Managers,100
01/12/2010,Otago/Southland,Manufacturing,100
01/12/2010,Otago/Southland,Other,100
01/12/2010,Otago/Southland,Primary,100
01/12/2010,Otago/Southland,Professionals,100
01/12/2010,Otago/Southland,Sales,100
01/12/2010,Otago/Southland,Sales Workers,100
01/12/2010,Otago/Southland,Semi-Skilled,100
01/12/2010,Otago/Southland,Skilled,100
01/12/2010,Otago/Southland,SkilledIndex,100
01/12/2010,Otago/Southland,Technicians and Trades Workers,100
01/12/2010,Otago/Southland,Unskilled,100
01/12/2010,Otago/Southland,UnskilledIndex,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Business services,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Clerical and Administrative Workers,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Community and Personal Service Workers,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Construction,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Education,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Health care,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Highly-Skilled,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Hospitality,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,IT,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Labourers,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Low-Skilled,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Machinery Operators and Drivers,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Managers,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Manufacturing,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Other,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Primary,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Professionals,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Sales,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Sales Workers,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Semi-Skilled,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Skilled,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,SkilledIndex,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Technicians and Trades Workers,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,Unskilled,100
01/12/2010,Tasman/Nelson/Marlborough/West Coast,UnskilledIndex,100
01/12/2010,Totals,Auckland,100
01/12/2010,Totals,Bay of Plenty,100
01/12/2010,Totals,Business services,100
01/12/2010,Totals,Canterbury,100
01/12/2010,Totals,Clerical and Administrative Workers,100
01/12/2010,Totals,Community and Personal Service Workers,100
01/12/2010,Totals,Construction,100
01/12/2010,Totals,Education,100
01/12/2010,Totals,Gisborne/Hawkes Bay,100
01/12/2010,Totals,Health care,100
01/12/2010,Totals,Highly-Skilled,100
01/12/2010,Totals,Hospitality,100
01/12/2010,Totals,IT,100
01/12/2010,Totals,Labourers,100
01/12/2010,Totals,Low-Skilled,100
01/12/2010,Totals,Machinery Operators and Drivers,100
01/12/2010,Totals,Managers,100
01/12/2010,Totals,Manawatu-Whanganui/Taranaki,100
01/12/2010,Totals,Manufacturing,100
01/12/2010,Totals,Northland,100
01/12/2010,Totals,Otago/Southland,100
01/12/2010,Totals,Other,100
01/12/2010,Totals,Primary,100
01/12/2010,Totals,Professionals,100
01/12/2010,Totals,Sales,100
01/12/2010,Totals,Sales Workers,100
01/12/2010,Totals,Semi-Skilled,100
01/12/2010,Totals,Skilled,100
01/12/2010,Totals,SkilledIndex,100
01/12/2010,Totals,Tasman/Nelson/Marlborough/West Coast,100
01/12/2010,Totals,Technicians and Trades Workers,100
01/12/2010,Totals,TotalsIndex,100
01/12/2010,Totals,Unskilled,100
01/12/2010,Totals,UnskilledIndex,100
01/12/2010,Totals,Waikato,100
01/12/2010,Totals,Wellington,100
01/12/2010,Waikato,Business services,100
01/12/2010,Waikato,Clerical and Administrative Workers,100
01/12/2010,Waikato,Community and Personal Service Workers,100
01/12/2010,Waikato,Construction,100
01/12/2010,Waikato,Education,100
01/12/2010,Waikato,Health care,100
01/12/2010,Waikato,Highly-Skilled,100
01/12/2010,Waikato,Hospitality,100
01/12/2010,Waikato,IT,100
01/12/2010,Waikato,Labourers,100
01/12/2010,Waikato,Low-Skilled,100
01/12/2010,Waikato,Machinery Operators and Drivers,100
01/12/2010,Waikato,Managers,100
01/12/2010,Waikato,Manufacturing,100
