ACTUAL_DATE,ANZSCO_CODE,ANNUAL_PERCENTAGE_CHANGE,ANZSCO_TITLE
01/12/2011,1111,-6.8,Chief Executives and Managing Directors
01/12/2011,1112,-4.4,General Managers
01/12/2011,1213,7,Livestock Farmers
01/12/2011,1311,-10.8,"Advertising, Public Relations and Sales Managers"
01/12/2011,1321,2.7,Corporate Services Managers
01/12/2011,1322,-0.5,Finance Managers
01/12/2011,1323,-2.1,Human Resource Managers
01/12/2011,1324,4.6,Policy and Planning Managers
01/12/2011,1331,29.1,Construction Managers
01/12/2011,1332,6.8,Engineering Managers
01/12/2011,1335,16.5,Production Managers
01/12/2011,1336,-8.8,"Supply, Distribution and Procurement Managers"
01/12/2011,1342,26.3,Health and Welfare Services Managers
01/12/2011,1344,142.5,Other Education Managers
01/12/2011,1351,12.2,ICT Managers
01/12/2011,1399,27.6,Other Specialist Managers
01/12/2011,1411,8.9,Cafe and Restaurant Managers
01/12/2011,1421,9.4,Retail Managers
01/12/2011,1492,12,Call or Contact Centre and Customer Service Managers
01/12/2011,1499,41.9,"Other Hospitality, Retail and Service Managers"
01/12/2011,2124,-41.7,Journalists and Other Writers
01/12/2011,2211,26.6,Accountants
01/12/2011,2212,34.3,"Auditors, Company Secretaries and Corporate Treasurers"
01/12/2011,2223,43.1,Financial Investment Advisers and Managers
01/12/2011,2231,-10,Human Resource Professionals
01/12/2011,2233,-10.7,Training and Development Professionals
01/12/2011,2241,76.3,"Actuaries, Mathematicians and Statisticians"
01/12/2011,2244,10.3,Intelligence and Policy Analysts
01/12/2011,2247,14.9,Management and Organisation Analysts
01/12/2011,2249,13.1,Other Information and Organisation Professionals
01/12/2011,2251,-9,Advertising and Marketing Professionals
01/12/2011,2252,0.9,ICT Sales Professionals
01/12/2011,2253,16.9,Public Relations Professionals
01/12/2011,2254,-1.9,Technical Sales Representatives
01/12/2011,2321,-26.3,Architects and Landscape Architects
01/12/2011,2324,-17.9,"Graphic and Web Designers, and Illustrators"
01/12/2011,2326,26.2,Urban and Regional Planners
01/12/2011,2332,-18.4,Civil Engineering Professionals
01/12/2011,2333,47.9,Electrical Engineers
01/12/2011,2335,-4.3,"Industrial, Mechanical and Production Engineers"
01/12/2011,2339,-0.3,Other Engineering Professionals
01/12/2011,2343,-20.9,Environmental Scientists
01/12/2011,2411,-27.1,Early Childhood (Pre-primary School) Teachers
01/12/2011,2412,-20.7,Primary School Teachers
01/12/2011,2413,-34.4,Middle School Teachers or Intermediate School Teachers
01/12/2011,2414,-10,Secondary School Teachers
01/12/2011,2421,0,University Lecturers and Tutors
01/12/2011,2422,0.7,Vocational Education Teachers or Polytechnic Teachers
01/12/2011,2491,-15.3,Education Advisers and Reviewers
01/12/2011,2512,-12.1,Medical Imaging Professionals
01/12/2011,2513,53.4,Occupational and Environmental Health Professionals
01/12/2011,2524,44.6,Occupational Therapists
01/12/2011,2525,161.1,Physiotherapists
01/12/2011,2531,14.3,General Practitioners and Resident Medical Officers
01/12/2011,2533,48.5,Specialist Physicians
01/12/2011,2543,-12.3,Nurse Managers
01/12/2011,2544,46.9,Registered Nurses
01/12/2011,2611,-0.2,ICT Business and Systems Analysts
01/12/2011,2612,4.6,Multimedia Specialists and Web Developers
01/12/2011,2613,3.8,Software and Applications Programmers
01/12/2011,2621,45.7,"Database and Systems Administrators, and ICT Security Specialists"
01/12/2011,2631,13.2,Computer Network Professionals
01/12/2011,2632,52.7,ICT Support and Test Engineers
01/12/2011,2713,-25.3,Solicitors
01/12/2011,2721,12.6,Counsellors
01/12/2011,2723,32.1,Psychologists
01/12/2011,2724,31.9,Social Professionals
01/12/2011,2725,2.4,Social Workers
01/12/2011,3112,41.4,Medical Technicians
01/12/2011,3114,25.6,Science Technicians
01/12/2011,3121,40.2,"Architectural, Building and Surveying Technicians"
01/12/2011,3122,35.6,Civil Engineering Draftspersons and Technicians
01/12/2011,3123,21.7,Electrical Engineering Draftspersons and Technicians
01/12/2011,3129,21.6,Other Building and Engineering Technicians
01/12/2011,3131,-4.4,ICT Support Technicians
01/12/2011,3211,30.8,Automotive Electricians
